Atom,EXP,AM1,PM3,INDO,PM3MM,B3LYP/6-311G,B3LYP/LanL2DZ
S1-C1,1.6957,1.87,1.88,1.83,1.88,1.83,1.92
N1-C1,1.3416,1.45,1.48,1.45,1.48,1.45,1.45
N1-C11,1.4276,1.41,1.44,1.43,1.44,1.43,1.4
N1-H1,0.88,1,1,1.03,1,1.03,1.01
C11-C16,1.3967,1.42,1.4,1.41,1.4,1.41,1.4
C11-C12,1.3697,1.39,1.39,1.4,1.39,1.4,1.41
C12-C-13,1.3917,1.4,1.4,1.41,1.4,1.41,1.4
C13-C14,1.3868,1.39,1.39,1.4,1.39,1.4,1.41
C14-C15,1.3878,1.9,1.4,1.41,1.4,1.41,1.4
C15-C16,1.3897,1.39,1.39,1.4,1.39,1.4,1.41
C12-H12,0.95,1.1,1.1,1.08,1.1,1.08,1.09
C13-H14,0.95,1.1,1.1,1.08,1.1,1.08,1.09
C14-H15,0.95,1.1,1.1,1.08,1.1,1.08,1.09
C15-H16,0.95,1.1,1.1,1.08,1.1,1.08,1.09
C16-H17,0.95,1.1,1.1,1.08,1.1,1.08,1.09
